object_id,color_1,closest_1,color_2,closest_2,color_3,closest_3,color_4,closest_4,color_5,closest_5,palette,url
18564111,#6285d4,#6495ed,#3d3a47,#2f4f4f,#9892a0,#a9a9a9,#999590,#bc8f8f,#575b64,#696969,css3,http://images.collection.cooperhewitt.org/16322_dbd3b7f00f72db62_z.jpg
18564387,#aca3a4,#a9a9a9,#5976b7,#4682b4,#594b4d,#2f4f4f,#928386,#808080,#6b6d4f,#696969,css3,http://images.collection.cooperhewitt.org/16323_92b9cf4f91430241_z.jpg
18616303,#ac908c,#bc8f8f,#966f6f,#808080,#d2bac0,#c0c0c0,#887c95,#778899,#563536,#2f4f4f,css3,http://images.collection.cooperhewitt.org/16324_0d6ffbce7d110de0_z.jpg
18564177,#cdb79b,#d2b48c,#b09287,#bc8f8f,#4e6798,#4682b4,#e9e9d2,#faebd7,#debeb3,#c0c0c0,css3,http://images.collection.cooperhewitt.org/16325_876ce8facfcee35a_z.jpg
18798265,#a27465,#808080,#855c4a,#a0522d,#b59a9c,#bc8f8f,#bfc3cc,#c0c0c0,#989ca4,#a9a9a9,css3,http://images.collection.cooperhewitt.org/16326_5292022cc28ace55_z.jpg
18402539,#283046,#2f4f4f,#4a5a7f,#483d8b,#475150,#2f4f4f,#c38577,#bc8f8f,#47333c,#2f4f4f,css3,http://images.collection.cooperhewitt.org/16329_2ea81cad520dae44_z.jpg
18104683,#81151f,#800000,#ceb4e2,#d8bfd8,#eae3f8,#e6e6fa,#9598c7,#a9a9a9,#ad4364,#cd5c5c,css3,http://images.collection.cooperhewitt.org/16332_bb8f54f2c4aa747b_z.jpg
18445507,#b55042,#a0522d,#d8cbc7,#d3d3d3,#d39291,#bc8f8f,#ceb0c2,#c0c0c0,,,css3,http://images.collection.cooperhewitt.org/16333_5487a2135bb58873_z.jpg
18643879,#252830,#2f4f4f,#55545b,#696969,,,,,,,css3,http://images.collection.cooperhewitt.org/16338_9a602c6fb6bca859_z.jpg
18798263,#aeb584,#bdb76b,#6f6942,#556b2f,#48422a,#556b2f,,,,,css3,http://images.collection.cooperhewitt.org/16346_007b7774b3f80ba1_z.jpg
