person_id,person_name,id,name,count_objects
18048435,Nina Alexeevna Zander,35236655,Designer,1
18048437,Alexei Nikolaevich Kolosov,35236655,Designer,1
18048439,A. Gromov,35236717,Decorator,1
18048441,Tatiana Mikhailovna Demorei,35236655,Designer,1
18048443,Proletarian Porcelain Factory,35236657,Manufacturer,1
18048445,A. Emelianova,35236655,Designer,1
18048447,"Shchekotikhina-Pototskaya, Alexandra Vasilievna",35236655,Designer,2
18048449,T. Glebova,35236717,Decorator,1
18048451,Freiberg Porcelain Factory,35236657,Manufacturer,1
18048453,L. Dibrova,35236655,Designer,1
18048455,Baranovsky Porcelain Factory,35236657,Manufacturer,2
18048457,D. S. Goch,35236655,Designer,1
18048459,O.V. Ivanova,35236655,Designer,1
18048461,"Knoll International, European Textile Collection",35236681,Company,1
18048461,"Knoll International, European Textile Collection",35236671,Producer,1
18048469,Schiffer Prints (a division of Mil-Arts Co.),35236657,Manufacturer,1
18048475,Cranbrook Academy Design Department,35236797,Firm,1
18048479,Scotten-Dillon Co.,35236657,Manufacturer,8
18048483,"Chicago Wall Paper Manufacturers, Co.",35236657,Manufacturer,6
18048491,Hermann Gretsch,35236655,Designer,1
18048495,Rozenburg Pottery and Porcelain Factory,35236657,Manufacturer,14
18048495,Rozenburg Pottery and Porcelain Factory,35236671,Producer,1
18048503,Theophile Alexandre Steinlen,35236565,Artist,1
18048505,C.A. Lion Cachet,35236655,Designer,1
18048505,C.A. Lion Cachet,35236565,Artist,1
18048547,Paul T. Frankl,35236655,Designer,1
18048553,Maria Monaci Gallenga,35236671,Producer,2
18048555,Gaetano Bertolani,35236711,Attributed to,1
18048563,Vladimir Stenberg,35236711,Attributed to,1
18048567,Witold Gordon,35236565,Artist,32
18048571,Ioannes (Giovanni) Stradanus,35236743,Engraver,1
18048571,Ioannes (Giovanni) Stradanus,35236565,Artist,1
18048577,"Anders-Orr & Associates,Inc",35236703,Office of,3
18048577,"Anders-Orr & Associates,Inc",35236655,Designer,1
18048579,General Electric Company,35236667,Client,4
18048579,General Electric Company,35236657,Manufacturer,3
18048579,General Electric Company,35236655,Designer,1
18048583,"Numetal Surfaces, Inc.",35236671,Producer,1
18048585,Niki de Saint-Phalle,35236565,Artist,1
18048587,Salubra,35236657,Manufacturer,6
18048595,Kvadrat,35236671,Producer,2
18048597,Judith Kngwarreye,35236565,Artist,1
18048599,Signe Persson-Melin,35236655,Designer,2
18048601,Kay Bojesen,35236655,Designer,26
18048603,Bertil Vallien,35236655,Designer,1
18048607,,35236655,Designer,1
18048609,Marrku Salo,35236655,Designer,12
18048611,Ernst Felix,35236655,Designer,1
18048617,Tommi (Anton) Parzinger,35236565,Artist,1
18048629,"Alkahn Labels, Inc.",35236671,Producer,1
18048649,Modern Arts Packaging,35236657,Manufacturer,1
18048651,Packaging Specialties Co.,35236657,Manufacturer,1
18048671,Thomas Gentille,35236565,Artist,1
18048685,Hoytema,35236655,Designer,5
18048687,Fanny Levine,35236565,Artist,2
18048687,Fanny Levine,35236717,Decorator,1
18048689,Gidding Jaap,35236565,Artist,1
18048691,Pillivuyt & Cie,35236657,Manufacturer,7
18048697,Dimitrov Porcelain Factory,35236657,Manufacturer,2
18048699,T. C. Brown,35236565,Artist,1
18048701,Minton's,35236657,Manufacturer,2
18048703,Benson,35236655,Designer,1
18048705,Union Porcelain Works,35236657,Manufacturer,1
18048707,Marguerite Friedlaender-Wildenhain,35236655,Designer,1
18048709,Alton Butterfield,35236655,Designer,2
18048711,Shanghai Textile Research Institute,35236671,Producer,1
18048713,Mendell & Oberer,35236655,Designer,32
18048715,Delta,35236657,Manufacturer,1
18048717,M & Co.,35236797,Firm,243
18048717,M & Co.,35236655,Designer,67
18048717,M & Co.,35236799,Design Director,2
18048725,Cheryl R. Riley,35236655,Designer,2
18048725,Cheryl R. Riley,35236565,Artist,1
18048729,Private collection,35236655,Designer,170
18048729,Private collection,35236691,Collector,14
18048733,William D. Goryl,35236655,Designer,1
18048735,Evelyn Sherwood,35236655,Designer,1
18048741,Roland Stickney,35236655,Designer,7
18048741,Roland Stickney,35236669,Draftsman,1
18048743,Jack Wright,35236669,Draftsman,2
18048745,George Payne,35236655,Designer,1
18048747,Ruth Patsy Kline,35236565,Artist,1
18048759,Amable Leroy,35236671,Producer,1
18048761,Delicort et Cie,35236671,Producer,2
18048763,Iannelli Studios Designers,35236681,Company,1
18048769,Gaylord Specialties Corp.,35236657,Manufacturer,1
18048775,Modern Arts,35236657,Manufacturer,1
18048783,Freiherr von Poschinger Krystallglasfabrik,35236657,Manufacturer,1
18048785,Mme. Buettel Arnould French Millinery,35236671,Producer,1
18048791,United-DeSoto Wallpaper Company,35236657,Manufacturer,1
18048805,P.J. Elling,35236565,Artist,1
18048925,Stephen Copeland,35236655,Designer,2
18048933,Martinez,35236655,Designer,1
18048935,Antonio Perez Niko,35236655,Designer,2
18048937,Christian Johannes van der Hoef,35236655,Designer,9
18048939,Begeer,35236671,Producer,7
18048941,N.V. Koninklijke,35236655,Designer,1
18048945,K.P.C. (Karel Petrus Cornelis) de Bazel,35236655,Designer,4
18048947,J.W. Mijnlief,35236565,Artist,3
18048949,"Onder den St. Maarten Workshop, Zaltbommel",35236657,Manufacturer,1
18048953,"J.M. van Kempen and Son, Voorschoten",35236657,Manufacturer,19
18048955,J.J.Pieter Oud,35236655,Designer,1
18048961,"Street & Smith Publications, Inc.",35236661,Publisher,1
18048963,Manufacture Anglaise du Chateau de Sevres,35236657,Manufacturer,1
18048967,Petitpierre & Compe. Nantes,35236657,Manufacturer,3
18048967,Petitpierre & Compe. Nantes,35236685,Maker,1
18048969,Manufacture de Dubern & Comp. a Nantes,35236657,Manufacturer,2
18049013,Herman Miller Furniture Company,35236703,Office of,134
18049013,Herman Miller Furniture Company,35236657,Manufacturer,7
