id,ldm:id,ldm:status,ldm:name,ldm:lastmod,freebase:id,freebase:status,freebase:name,freebase:lastmod,ulan:id,ulan:status,ulan:name,ulan:lastmod,ima:id,ima:status,ima:name,ima:lastmod,lcnaf:id,lcnaf:status,lcnaf:name,lcnaf:lastmod,moma:id,moma:status,moma:name,moma:lastmod,phm:id,phm:status,phm:name,phm:lastmod,tms:id,tms:status,tms:name,tms:lastmod,vanda:id,vanda:status,vanda:name,vanda:lastmod,viaf:id,viaf:status,viaf:name,viaf:lastmod,wikipedia:id,wikipedia:status,wikipedia:name,wikipedia:lastmod,ideo:id,ideo:status,ideo:name,ideo:lastmod
18055033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10051,4,"Gary Laredo",,,,,,,,,,,2,,2012-12-28T20:58:56Z,,,,
18055035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10052,4,"Don Albinson",,,,,,,,,,,2,,2012-12-28T20:58:56Z,,,,
18055037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10053,4,"Hilaire Hiler",,,,,,,,,,,2,,2012-12-28T20:58:56Z,,,,
18055039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10054,4,"Cynthia Pugh Littlejohn",,,,,,,,,,,2,,2012-12-28T20:58:57Z,,,,
18055041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10055,4,"Tom Loeser",,,,,,,,,,,2,,2012-12-28T20:58:57Z,,,,
18055043,,,,,/m/02hp6p,1,,2012-12-27T22:36:49Z,,,,,,,,,,,,,,,,,,,,,10056,4,"University of Hartford",,,,,,,,,,498528,1,"University of Hartford",2012-12-28T23:18:09Z,,,,
18055045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10057,4,Lumilite,,,,,,,,,,,2,,2012-12-28T20:58:57Z,,,,
18055047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10058,4,"Edward Lycett",,,,,,,,,,,,,,,,,
18055049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10059,4,"Lubalin Smith Carnase",,,,,,,,,,,2,,2012-12-28T20:58:57Z,,,,
18042753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006,4,"Robert Goldstrom",,,,,,,,,,,2,,2012-12-28T20:44:20Z,,,,
18055051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10060,4,"Ronne Löwensteyn",,,,,,,,,,,2,,2012-12-28T20:58:57Z,,,,
18055053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10061,4,Cenedese,,,,,,,,,,,2,,2012-12-28T20:58:57Z,,,,
18055055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10062,4,"Émile Decoeur",,,,,,,,,,,2,,2012-12-28T20:58:58Z,,,,
18055057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10063,4,"Erica Deichmann",,,,,,,,,,,2,,2012-12-28T20:58:58Z,,,,
18055059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10064,4,"Kjeld Deichmann",,,,,,,,,,,2,,2012-12-28T20:58:58Z,,,,
18055061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10065,4,Eureka,,,,,,,,,,59904,1,Eureka,2012-12-28T20:58:58Z,,,,
18055063,,,,,/m/01rpc_,1,,2012-12-28T20:58:58Z,,,,,5082,1,"Jean-Baptiste Carpeaux",2012-12-28T23:18:09Z,,,,,,,,,,,,,10066,4,"Jean Baptiste Carpeaux",,6666,1,"Carpeaux, Jean-Baptiste",2012-12-28T23:18:09Z,39385758,1,,2012-12-28T20:58:58Z,299202,1,"Jean-Baptiste Carpeaux",2012-12-28T20:58:58Z,,,,
18055065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10067,4,Yeki-ko,,,,,,,,,,,2,,2012-12-28T20:58:58Z,,,,
18055069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10069,4,"Janet Thorpe",,,,,,,,,,,2,,2012-12-28T20:58:58Z,,,,
18042755,,0,,2013-02-12T17:46:16Z,,,,,,,,,,,,,,,,,,,,,,,,,1007,4,"Champion International Corporation",,,,,,,,,,,2,,2012-12-28T20:44:21Z,,,,
18055071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10070,4,"Marens and Co.",,,,,,,,,,,2,,2012-12-28T20:58:59Z,,,,
18055077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10073,4,"Miss Elizabeth G. Holahan",,,,,,,,,,,2,,2012-12-28T20:58:59Z,,,,
18055083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10076,4,"Marshall Field and Co.",,,,,,,,,,,3,,2012-12-28T20:58:59Z,,,,
18055085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10078,4,"Pietro Gatti",,,,,,,,,,,2,,2012-12-28T20:58:59Z,,,,
18055087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10079,4,"Cesare Paolini",,,,,,,,,,,2,,2012-12-28T20:59:00Z,,,,
18055089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10080,4,"Franco Teodoro",,,,,,,,,,,2,,2012-12-28T20:59:00Z,,,,
18055091,,,,,/m/0523wk7,1,,2012-12-27T22:36:54Z,,,,,,,,,98343,1,,2012-12-27T22:36:54Z,,,,,,,,,10081,4,"Neil Selkirk",,,,,,9398904,1,,2012-12-27T22:36:54Z,20559850,1,"Neil Selkirk",2012-12-28T23:18:09Z,,,,
34624693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10082,4,"Vivero Oy",,,,,,,,,,,,,,,,,
18055093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10083,4,"Mrs. Lincoln Johnson",,,,,,,,,,,2,,2012-12-28T20:59:00Z,,,,
18055095,,,,,/m/07_pxn,1,,2012-12-28T20:59:00Z,,,,,,,,,,,,,,,,,,,,,10084,4,"Cliff Morgan",,,,,,,,,,2732716,1,"Cliff Morgan",2012-12-28T20:59:00Z,,,,
18055097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10085,4,"Sarah Allen",,,,,,,,,,31136860,1,"Sarah Allen",2012-12-28T20:59:01Z,,,,
18055099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10086,4,"Wenzel Friedrich",,,,,,,,,,,2,,2012-12-28T20:59:01Z,,,,
18055101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10087,4,"Rosenthal Einrichtung",,,,,,,,,,,2,,2012-12-28T20:59:01Z,,,,
18055103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10088,4,"Jutta and Herbert Ohl",,,,,,,,,,,2,,2012-12-28T20:59:01Z,,,,
18055105,,0,,2013-02-12T17:48:58Z,,,,,,,,,,,,,,,,,,,,,,,,,10090,4,"Martha Butler",,,,,,,,,,,2,,2012-12-28T20:59:01Z,,,,
18055129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10109,4,"Earl McCutchen",,,,,,,,,,,2,,2012-12-28T20:59:03Z,,,,
18042759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,4,"Modern Arts - A Lindsay Company",,,,,,,,,,,2,,2012-12-28T20:44:21Z,,,,
18055143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10117,4,"Susan J. Brown",,,,,,,,,,,2,,2012-12-28T20:59:04Z,,,,
18042761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,4,"Inpak LTD",,,,,,,,,,,2,,2012-12-28T20:44:21Z,,,,
18055153,,0,,2013-02-12T17:48:56Z,,,,,,,,,,,,,,,,,,,,,,,,,10122,4,"Ljungbergs Textiltryck AB, Floda, Sweden",,,,,,,,,,,2,,2012-12-28T20:59:05Z,,,,
18055155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10123,4,"F.A. Bernett, Inc.",,,,,,,,,,,2,,2012-12-28T20:59:05Z,,,,
34624697,,2,,2013-02-12T18:08:21Z,,,,,,,,,,,,,,,,,,,,,,,,,10124,4,"Richard Landis",,,,,,,,,,,,,,,,,
18055157,,3,,2013-02-12T17:48:55Z,,,,,,,,,,,,,,,,,,,,,,,,,10125,4,"Georg Heinrich Schifflen",,,,,,,,,,,2,,2012-12-28T20:59:05Z,,,,
18042763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,4,"Wilson Art",,,,,,,,,,,2,,2012-12-28T20:44:21Z,,,,
18055165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10130,4,"Miss Isabel Shults",,,,,,,,,,,2,,2012-12-28T20:59:06Z,,,,
18055169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10132,4,"Sirpa Yarmolinsky",,,,,,,,,,,2,,2012-12-28T20:59:07Z,,,,
18055171,,0,,2013-02-12T17:48:57Z,,,,,,,,,,,,,,,,,,,,,,,,,10133,4,"J.F. Christy",,,,,,,,,,,2,,2012-12-28T20:59:07Z,,,,
18055173,,0,,2013-02-12T17:48:57Z,,,,,,,,,,,,,,,,,,,,,,,,,10134,4,"Sir Henry Cole (also known as Felix Summerly)",,,,,,,,,,,2,,2012-12-28T20:59:07Z,,,,
18055177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10136,4,"T. Parmeggiani Tancredi",,,,,,,,,,,2,,2012-12-28T20:59:07Z,,,,
18055179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10137,4,"Claude Viseaux",,,,,,,,,,,2,,2012-12-28T20:59:08Z,,,,
18055181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10138,4,"Tadeusz Brzozowski",,,,,,,,,,2999338,1,"Tadeusz Brzozowski",2012-12-28T20:59:08Z,,,,
18055183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10139,4,"Marcella Cahn",,,,,,,,,,,2,,2012-12-28T20:59:09Z,,,,
18042765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014,4,"Mackvie Inc., Korea",,,,,,,,,,,2,,2012-12-28T20:44:21Z,,,,
18055185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10140,4,"Giuseppe Capogrossi",,,,,,,,,,,2,,2012-12-28T20:59:09Z,,,,
18055187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10141,4,"Jun Dobashi",,,,,,,,,,,2,,2012-12-28T20:59:09Z,,,,
18055189,,,,,/m/05t0kgt,1,,2012-12-28T20:59:09Z,,,,,,,,,,,,,1578,1,,2012-12-28T20:59:09Z,,,,,10142,4,"Cesar Domela",,,,,,,,,,22408559,1,"César Domela",2012-12-28T20:59:09Z,,,,
18055201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10148,4,"Robert Talmadge",,,,,,,,,,,2,,2012-12-28T20:59:11Z,,,,
18042767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015,4,Summit,,,,,,,,,,144685,1,Summit,2012-12-28T20:44:21Z,,,,
18055205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10150,4,"Madame Charles Huard",,,,,,,,,,,2,,2012-12-28T20:59:11Z,,,,
18042769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016,4,"Bhanu Persaud",,,,,,,,,,,2,,2012-12-28T20:44:21Z,,,,
18055227,,0,,2013-02-12T18:09:08Z,,,,,,,,,2741,1,Unknown,2012-12-28T23:18:10Z,,,,,,,,,,,,,10163,4,Unknown,,75379,1,unknown,2012-12-28T23:18:10Z,100627207,1,,2012-12-27T22:37:05Z,,,,,,,,
18055229,,0,,2013-02-12T18:09:10Z,/m/03lk29,1,,2012-12-27T22:37:05Z,,,,,1110,1,"Sebastiano Conca",2012-12-28T23:18:10Z,,,,,,,,,,,,,10164,4,"Sebastiano Conca",,30792,1,"Conca, Sebastiano",2012-12-28T23:18:10Z,71427941,1,,2012-12-27T22:37:05Z,,,,,,,,
18055231,,0,,2013-02-12T18:09:07Z,,,,,,,,,,,,,,,,,,,,,,,,,10165,4,"Baldassare De Caro",,,,,,,,,,,2,,2012-12-28T20:59:13Z,,,,
18042771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017,4,"Rosenlew- Finland",,,,,,,,,,,2,,2012-12-28T20:44:22Z,,,,
18055247,,0,,2013-02-12T18:09:08Z,,,,,,,,,,,,,,,,,,,,,,,,,10173,4,Barbarini,,,,,,,,,,,2,,2012-12-28T20:59:14Z,,,,
18042773,,0,,2013-02-12T17:46:19Z,,,,,,,,,,,,,,,,,,,,,,,,,1018,4,"Modern Arts Packaging by Design",,,,,,,,,,,2,,2012-12-28T20:44:22Z,,,,
18055275,,0,,2013-02-12T18:09:07Z,/m/0272718,1,,2012-12-27T22:37:10Z,,,,,,,,,,,,,,,,,,,,,10189,4,"Maira Kalman",,,,,,32133820,1,,2012-12-27T22:37:10Z,8403266,1,"Maira Kalman",2012-12-28T23:18:10Z,,,,
18042775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019,4,"Mike Romer",,,,,,,,,,,2,,2012-12-28T20:44:22Z,,,,
18055285,,0,,2013-02-12T18:09:06Z,,,,,,,,,,,,,,,,,,,,,,,,,10195,4,"Mr. Frank Nuovo",,,,,,,,,,,2,,2012-12-28T20:59:18Z,,,,
18055289,,0,,2013-02-12T18:09:09Z,,,,,,,,,,,,,,,,,,,,,,,,,10197,4,Zerodisegno,,,,,,,,,,,2,,2012-12-28T20:59:18Z,,,,
18041089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,4,"Mr. Richard A. Manetta",,,,,,,,,,,2,,2012-12-28T20:42:42Z,,,,
18055301,,0,,2013-02-12T17:57:07Z,,,,,,,,,,,,,,,,,,,,,,,,,10204,4,"Jay Gresham",,,,,,,,,,,2,,2012-12-28T20:59:19Z,,,,
18055303,,0,,2013-02-12T17:57:10Z,,,,,,,,,,,,,,,,,,,,,,,,,10205,4,Renard,,,,,,,,,,4406908,1,Renard,2012-12-28T20:59:19Z,,,,
18055309,,0,,2013-02-12T17:57:08Z,,,,,,,,,,,,,,,,,,,,,,,,,10209,4,"Isaac Mizrahi",,,,,,,,,,429739,1,"Isaac Mizrahi",2012-12-28T20:59:20Z,,,,
18042777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021,4,"Ida Fabricius",,,,,,,,,,,2,,2012-12-28T20:44:22Z,,,,
18055319,,0,,2013-02-12T17:57:16Z,,,,,,,,,,,,,,,,,,,,,,,,,10214,4,fuseproject.,,,,,,,,,,6118566,1,Fuseproject,2012-12-28T20:59:21Z,,,,
18055323,,0,,2013-02-12T17:57:04Z,,,,,,,,,,,,,,,,,,,,,,,,,10216,4,"Brian Connelly",,,,,,,,,,27413027,1,"Brian Connelly",2012-12-28T20:59:22Z,,,,
18055327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10218,4,"Phillips de Pury & Luxemburg",,,,,,,,,,,2,,2012-12-28T20:59:22Z,,,,
