Count Cesare Massimiliano Cini,18042875,0,0
Mauro Antonio Tesi,18042877,949880,11156214
Otto J. Teegen,18042879,0,0
Robert Wilson,18042881,119812354,1017592
Etienne Delaune,18042887,0,0
"Bartolommeo Bandinelli, called Baccio",18042889,0,0
Unknown,18042891,100627207,0
Pierino da Vinci,18042893,251017414,0
Ranuccio Farnese,18042897,0,0
Jean-Jacques Lequeu,18042899,34479306,3174541
Claude Delagardette,18042901,0,0
Elsie Marie Bates-Freund,18042907,0,0
Augustus Charles Pugin,18042909,46833997,2853714
Luigi Biagi,18042913,0,0
Romolo Liverani,18042915,15955646,0
Alessandro Sanquirico,18042917,32269615,0
Giuseppe Gagliardi,18042919,0,0
Franz Rust,18042921,0,0
Gaëtano Malagodi,18042923,0,0
Antonio Sarti,18042925,62623321,0
Angelo Toselli,18042927,96047323,0
Karl Josef Koebel,18042929,0,0
Giovanni Bettati,18042931,125396486,0
Pope Pius VII,18042933,0,0
Giovanni Volpato,18042935,0,0
Pietro Camporesi,18042937,25438529,19285010
Hippolyte-François Joseph Equennez,18042939,0,0
Jean-François Bony,18042941,96489038,0
Pierre Mariette,18042943,47036617,0
Mathurin Duchesne,18042945,0,0
H. Reuterdahl,18042951,54108370,20619105
Latham Lithography & Painting Co.,18042953,0,0
Fred J. Hoertz,18042955,0,0
Ketterlinus,18042957,51784251,36541644
C. Hullmandel,18042967,34728355,13638079
Ostheimer Brothers,18042979,0,0
Paul-André Basset,18042981,0,0
"Louis XVI, King of France",18042983,96583664,0
Sir Leslie Matthew Ward (Spy),18042985,0,0
Jules Verne,18042987,76323989,15770
Nathaniel Currier,18042989,62871001,741290
C. Moody,18042997,0,0
C. Lane,18042999,0,0
Giuseppe Guzzi,18043001,96209686,0
Christopher Columbus,18043003,17231583,0
Wolfgang Amadeus Mozart,18043005,32197206,33163
George Baxter,18043019,19954952,31733682
Alphonse Maria Mucha,18043027,54279412,102989
Giovanni Benedetto Castiglione,18043031,34728703,2374232
Monsieur de Bagneur,18043035,0,0
Louis-Charles Ruotte,18043037,37185758,0
Alexander Iacovleff,18043041,0,0
S. Elisseeff,18043043,0,0
J.M. Attwood,18043045,0,0
G.P. Clarke,18043047,0,0
Johann Baptista Homann,18043049,47031432,16537
Raphael,18043051,64055977,44525
Robert Adam,18043053,59122607,113575
François-Étienne Joubert,18043057,49568336,0
Pietro Antonio Martini,18043059,32067337,0
Giovanni Ottaviani,18043071,59356937,0
Gaetano Savorelli,18043073,122613941,0
Vieillard & Cie.,18043075,0,0
Amédée de Caranza,18043077,0,0
Louis Crépy,18043083,229723411,0
Rembrandt Harmensz van Rijn,18043087,0,0
Pierre Ranson,18043089,17493270,0
Jacques Juillet,18043091,0,0
Scott and Teegen,18043093,0,0
Joan Miró,18043099,9850739,63093
Francesco Solimena,18043105,29802024,3624721
Heinrich Aldegrever,18043115,0,0
Monogrammist S.L.,18043117,95829384,0
Henri Matisse,18043119,42630086,60203
Adrien von Ostade,18043121,0,0
Paul Vera,18043123,10952131,0
Elihu Vedder,18043135,64934320,1965843
Ashbel Holmes Barney,18043137,0,0
Witold Gordon,18043139,0,0
David Virgien,18043141,0,0
Fireworks and KD,18043143,0,0
Lincoln Cushing,18043145,0,0
Public Media Center,18043147,0,0
Julie Fox,18043149,0,0
Liberation Graphics,18043151,0,0
Salim Yaqub,18043153,0,0
Insurgent Squeegee,18043155,0,0
Diego Rivera,18043157,59099198,103362
Terry Foreman,18043159,0,0
Peter Julian,18043161,0,0
ATW Communications,18043163,0,0
Janet Koenig,18043165,96541893,0
Post No Bills,18043167,0,0
Guerrilla Girls,18043169,137498181,0
Peter Cohen,18043171,0,0
Jamie Barrett,18043173,0,0
Robbie Connor,18043175,0,0
Kastonie,18043177,0,0
Jayme Morgan Penner,18043179,0,0
Paolo de Mattheis,18043183,32895391,9097571
Charles Mellin,18043185,95715903,0
Gugliemo Cortese,18043189,0,0
Granger,18043197,69200068,0
Clare Francis,18043199,0,0
Rick Bickhart,18043201,0,0
Judith Meyer,18043203,0,0
Jean Romano,18043205,0,0
Stephen de Francesco,18043207,0,0
Don Herron,18043209,0,0
Michael Sabanosh,18043211,0,0
Peg Averill,18043213,0,0
Jerry Kearns,18043215,0,0
Lucy Lippard,18043217,109482861,8723702
Georgina von Etzdorf,18043219,172586019,0
Laura King,18043221,0,0
Charles Cohan,18043223,0,0
Keith R. Potter,18043225,0,0
Steven Lyons,18043227,0,0
Seth Tobocman,18043229,0,0
Frank Morales,18043231,0,0
Peter Kuper,18043233,0,0
B K Guillet,18043235,0,0
Caz,18043237,74916515,7434724
Micki McGee,18043239,0,0
Eric Drooker,18043241,0,0
cheap art,18043243,0,0
I.B.,18043245,0,0
Vincent Gagliostro,18043247,0,0
Avram Finkelstein,18043249,0,0
Nalaquias Montoya,18043251,0,0
Sabrina Jones,18043253,0,0
David Lance Goines,18043255,96152390,34916595
Heidi Brandt,18043257,0,0
Robert Cuni,18043259,0,0
Anton van Dalen,18043261,44218193,0
Lady Pink,18043263,0,0
Nancy Burson,18043265,0,0
Kunio Nagashima,18043267,0,0
Josh Gosfield,18043269,0,0
Sue Coe,18043271,95715926,2654608
Louise Kollenbaum,18043273,0,0
Helene Silverman,18043275,0,0
"Tomaso D'Antonio Manzuoli, called Maso da San Friano",18043281,0,0
Taddeo Zuccaro,18043283,12575251,58821
Gang,18043285,0,0
Mattia de Rossi,18043287,52580828,11850854
Charles Martinet,18043293,0,0
Eva S. Zeisel,18043295,0,0
J.B.D.,18043297,0,0
James Wines,18043301,108760942,1842275
Wallace Nutting,18043305,34603520,761659
Ruth Reeves,18043309,51267566,21978570
Crosley Radio Corporation,18043313,0,0
Radio Corporation of America,18043315,151401364,0
Francesco Guardi,18043319,27073465,854569
I. A. Achorn,18043323,0,0
Guido Reni,18043327,49288294,605079
Ludovico Carracci,18043329,29596926,846559
Alvin Lustig,18043331,13378107,20349675
Arnold William Brunner,18043333,19573973,35916294
Carlo Ansorge,18043337,0,0
H.P. Bremmer,18043339,24817391,27382544
Richard Nicolaus Roland Holst,18043341,40179306,0
Theodoor van Hoytema,18043343,5237677,0
Johannes Theodoor Toorop,18043345,29723547,178222
Giovanni Sebastiano Meyandi,18043347,96239339,0
Salvatori,18043349,0,0
Alexis Falize,18043351,821872,0
Louis-Jean Desprez,18043353,14829822,2125670
Russel Wright,18043357,120170791,4661570
Cuban Film Institute,18043359,0,0
Eduardo Muñoz Bachs,18043361,0,0
Julio Eloy,18043363,0,0
Raul Martinez,18043365,9106742,7752654
Nestor,18043367,0,0
Donald Deskey Associates,18043369,0,0
Antonio Fernandez Reboiro,18043371,96392907,0
Silvio,18043373,0,0
Luis Vega,18043375,0,0
Union Carbide,18043377,0,0
Earl E. Hoyt Jr.,18043379,0,0
René Azcuy,18043381,95902108,0
W.D. T,18043383,0,0
Ñiko Antonio Perez,18043385,0,0
Albright Art Gallery,18043387,131096292,0
"Allen Automatic, Inc.",18043389,0,0
Harold Spurrier Anderson,18043391,0,0
C. G. Beersman,18043393,0,0
Crest,18043395,71940469,0
(Unknown) Dalmar,18043397,0,0
"Edward B. Green & Son, Architects",18043399,0,0
Gillette,18043401,0,0
Greenpoint,18043403,0,0
Jascha Heifetz,18043405,0,0
Russell Heston,18043407,0,0
Johnson,18043411,108419418,53421
G. L.,18043413,0,0
R. W. L.,18043415,0,0
Thomas W. Lamb,18043417,14035116,1653322
Lykos,18043419,0,0
Richard  H. Mandel,18043421,0,0
Abby Aldrich Rockefeller Milton,18043423,0,0
David Milton,18043425,0,0
Park Central Hotel,18043427,0,0
Abby Aldrich Greene Rockefeller,18043429,0,0
A. Rothbart,18043431,0,0
Helena Rubinstein,18043433,20475904,747450
F. S.,18043435,0,0
F.H. S.,18043437,95780045,0
P. S.,18043439,0,0
(unknown) Saenger,18043441,0,0
"Schmieg, Hungate & Kotzian, Inc.",18043443,0,0
Steinway and Sons,18043445,0,0
D. Stiles,18043447,172262908,0
Stow-Davis Furniture Company,18043449,0,0
Ullman,18043451,0,0
W.,18043453,46768718,31980613
W.G.W.,18043455,0,0
W.B.,18043457,46768718,31980613
Washburn,18043461,0,0
Westervelt,18043463,95687775,0
Widdicomb Furniture Company,18043465,0,0
Bert Young,18043467,0,0
Robert Jones,18043469,0,0
Edward William Godwin,18043471,24814348,1980907
Walter Shirlaw,18043475,78635054,4592943
Rene Boyvin,18043483,71630667,0
Erte,18043487,54147372,779696
Francesco Villamena,18043489,56751733,25935671
Gilles L'Egare,18043491,95722140,0
Charak Furniture Company,18043493,0,0
Jean-Baptiste Marie Huet,18043497,49119206,4297978
Jean-Baptiste Marechal,18043499,159928771,0
Gilles-Marie Oppenord,18043501,120696763,7512254
Jean-Baptiste Oudry,18043503,12336049,6110232
Louis Süe,18043507,44309252,0
Nicolas Larmessin III,18043513,17492848,0
Jan Theodor de Bry,18043515,7388985,0
Jean-Laurent Legeay,18043517,96537390,0
André Mare,18043519,39489593,12376266
Wolfgang Weingart,18043521,54366559,11837797
Ladislav Sutnar,18043523,25538073,2139831
John Hull Cutlers Corporation,18043537,0,0
