count_objects,id,name,superseded_by,supersedes,url
9,35251901,camera,0,0,http://collection.cooperhewitt.org/types/35251901/
17,35251937,certificate,0,0,http://collection.cooperhewitt.org/types/35251937/
84,35251935,scarf,0,0,http://collection.cooperhewitt.org/types/35251935/
4,35251621,sketches,0,0,http://collection.cooperhewitt.org/types/35251621/
3,35292455,Book with embroidered cover,0,0,http://collection.cooperhewitt.org/types/35292455/
1,35292459,Pair of pockets,0,0,http://collection.cooperhewitt.org/types/35292459/
1,35292441,"woodblock, anne ryan",0,0,http://collection.cooperhewitt.org/types/35292441/
1,35292475,Fragment (unfinished piece),0,0,http://collection.cooperhewitt.org/types/35292475/
1,35292463,punched work,0,0,http://collection.cooperhewitt.org/types/35292463/
1,35292431,"Lamp, floor",0,0,http://collection.cooperhewitt.org/types/35292431/
2,35292457,Chair seat cover,0,0,http://collection.cooperhewitt.org/types/35292457/
1,35292449,skyphos,0,0,http://collection.cooperhewitt.org/types/35292449/
7,35292433,Sample book page,0,0,http://collection.cooperhewitt.org/types/35292433/
2,35292489,Kain kepala (headcloth),0,0,http://collection.cooperhewitt.org/types/35292489/
1,35292487,patchwork: filet and cutwork,0,0,http://collection.cooperhewitt.org/types/35292487/
1,35292467,Lace in frame,0,0,http://collection.cooperhewitt.org/types/35292467/
1,35292473,Seam joint,0,0,http://collection.cooperhewitt.org/types/35292473/
1,35292403,Bandbox fragments,0,0,http://collection.cooperhewitt.org/types/35292403/
1,35292493,Loom weight,0,0,http://collection.cooperhewitt.org/types/35292493/
1,35292427,deck of cards with joker,0,0,http://collection.cooperhewitt.org/types/35292427/
1,35292415,Table light and case,0,0,http://collection.cooperhewitt.org/types/35292415/
1,35292445,Kantharos,0,0,http://collection.cooperhewitt.org/types/35292445/
2,35292419,Seal/stamp,0,0,http://collection.cooperhewitt.org/types/35292419/
2,35292405,Sidewall/border,0,0,http://collection.cooperhewitt.org/types/35292405/
1,35292497,Ecclesiastical cover,0,0,http://collection.cooperhewitt.org/types/35292497/
1,35292443,Scale and case,0,0,http://collection.cooperhewitt.org/types/35292443/
4,35292479,Embroidery tiraz,0,0,http://collection.cooperhewitt.org/types/35292479/
1,35292477,lace pre-made tape,0,0,http://collection.cooperhewitt.org/types/35292477/
2,35292451,Alabastron,0,0,http://collection.cooperhewitt.org/types/35292451/
1,35292471,Square and triangle,0,0,http://collection.cooperhewitt.org/types/35292471/
1,35292485,Pricked pattern,0,0,http://collection.cooperhewitt.org/types/35292485/
13,35292413,yarn sample,0,0,http://collection.cooperhewitt.org/types/35292413/
1,35292423,Commemorative patchwork,0,0,http://collection.cooperhewitt.org/types/35292423/
1,35292453,patchwork and embroidery,0,0,http://collection.cooperhewitt.org/types/35292453/
2,35292491,Coca bag (chuspa),0,0,http://collection.cooperhewitt.org/types/35292491/
1,35292469,Card with lace,0,0,http://collection.cooperhewitt.org/types/35292469/
1,35292461,Cutwork border,0,0,http://collection.cooperhewitt.org/types/35292461/
1,35292499,Samples from Malmaison,0,0,http://collection.cooperhewitt.org/types/35292499/
1,35268259,knob with plate,0,0,http://collection.cooperhewitt.org/types/35268259/
1,35268211,pull (2),0,0,http://collection.cooperhewitt.org/types/35268211/
1,35249183,inkwell and cover,0,0,http://collection.cooperhewitt.org/types/35249183/
17,35249119,sugar bowl,0,0,http://collection.cooperhewitt.org/types/35249119/
23,35249105,card case,0,0,http://collection.cooperhewitt.org/types/35249105/
17,35249107,book jacket,0,0,http://collection.cooperhewitt.org/types/35249107/
1,35249113,bonbonniere,0,0,http://collection.cooperhewitt.org/types/35249113/
259,35249153,blueprint,0,0,http://collection.cooperhewitt.org/types/35249153/
71,35249109,portfolio,0,0,http://collection.cooperhewitt.org/types/35249109/
266,35282659,Puppet,0,0,http://collection.cooperhewitt.org/types/35282659/
4,35282681,stove,0,0,http://collection.cooperhewitt.org/types/35282681/
6,35282665,puppets,0,0,http://collection.cooperhewitt.org/types/35282665/
56,35256293,Decoupage,0,0,http://collection.cooperhewitt.org/types/35256293/
1,35256229,Costume fragment,0,0,http://collection.cooperhewitt.org/types/35256229/
668,35256245,Tsuba,0,0,http://collection.cooperhewitt.org/types/35256245/
6,35256271,Garment for religious statue,0,0,http://collection.cooperhewitt.org/types/35256271/
5,35294855,"labs, books",0,0,http://collection.cooperhewitt.org/types/35294855/
3,35294883,print/booklet,0,0,http://collection.cooperhewitt.org/types/35294883/
10,35294875,print/invitation,0,0,http://collection.cooperhewitt.org/types/35294875/
4,35294863,letterhead envelope,0,0,http://collection.cooperhewitt.org/types/35294863/
1,35294831,Chocolate box,0,0,http://collection.cooperhewitt.org/types/35294831/
1,35294857,Color blanket,0,0,http://collection.cooperhewitt.org/types/35294857/
14,35294849,packaging,0,0,http://collection.cooperhewitt.org/types/35294849/
2,35294833,Price list,0,0,http://collection.cooperhewitt.org/types/35294833/
7,35294889,newsletter,0,0,http://collection.cooperhewitt.org/types/35294889/
4,35294887,magazine ad,0,0,http://collection.cooperhewitt.org/types/35294887/
1,35294881,print/map,0,0,http://collection.cooperhewitt.org/types/35294881/
1,35294821,Egg timer,0,0,http://collection.cooperhewitt.org/types/35294821/
2,35294873,print/brochure,0,0,http://collection.cooperhewitt.org/types/35294873/
2,35294803,pad,0,0,http://collection.cooperhewitt.org/types/35294803/
6,35294893,flyer,0,0,http://collection.cooperhewitt.org/types/35294893/
1,35294827,wooden ruler with one-inch marks,0,0,http://collection.cooperhewitt.org/types/35294827/
1,35294815,logo chart,0,0,http://collection.cooperhewitt.org/types/35294815/
1,35294829,cookies tin,0,0,http://collection.cooperhewitt.org/types/35294829/
1,35294817,divider page,0,0,http://collection.cooperhewitt.org/types/35294817/
1,35294825,"perfume, soap",0,0,http://collection.cooperhewitt.org/types/35294825/
1,35294865,Hanging panel,0,0,http://collection.cooperhewitt.org/types/35294865/
1,35294819,office products,0,0,http://collection.cooperhewitt.org/types/35294819/
1,35294807,press kit,0,0,http://collection.cooperhewitt.org/types/35294807/
19,35294897,exhibition announcement,0,0,http://collection.cooperhewitt.org/types/35294897/
1,35294839,souvenir map,0,0,http://collection.cooperhewitt.org/types/35294839/
1,35294843,Clock packaging,0,0,http://collection.cooperhewitt.org/types/35294843/
1,35294879,print/greeting card,0,0,http://collection.cooperhewitt.org/types/35294879/
1,35294847,Blocks,0,0,http://collection.cooperhewitt.org/types/35294847/
1,35294851,Album Covere,0,0,http://collection.cooperhewitt.org/types/35294851/
3,35294871,print/letterhead,0,0,http://collection.cooperhewitt.org/types/35294871/
1,35294885,announcement cad,0,0,http://collection.cooperhewitt.org/types/35294885/
6,35294801,tag,0,0,http://collection.cooperhewitt.org/types/35294801/
6,35294837,form,0,0,http://collection.cooperhewitt.org/types/35294837/
1,35294853,Video cover,0,0,http://collection.cooperhewitt.org/types/35294853/
2,35294835,report,0,0,http://collection.cooperhewitt.org/types/35294835/
16,35294891,catalogue/book,0,0,http://collection.cooperhewitt.org/types/35294891/
13,35294869,bookjacket design,0,0,http://collection.cooperhewitt.org/types/35294869/
1,35294811,"rock, paper, scissors",0,0,http://collection.cooperhewitt.org/types/35294811/
3,35294861,letterhead stationary,0,0,http://collection.cooperhewitt.org/types/35294861/
1,35294899,graphic design material,0,0,http://collection.cooperhewitt.org/types/35294899/
1,35294809,Brick,0,0,http://collection.cooperhewitt.org/types/35294809/
6,35249933,costume,0,0,http://collection.cooperhewitt.org/types/35249933/
51,35259883,Cap,0,0,http://collection.cooperhewitt.org/types/35259883/
8,35259881,rod,0,0,http://collection.cooperhewitt.org/types/35259881/
1,35259845,"Bracket
Bracket",0,0,http://collection.cooperhewitt.org/types/35259845/
5,35259851,cornice,0,0,http://collection.cooperhewitt.org/types/35259851/
1,35259801,"capital, corinthian",0,0,http://collection.cooperhewitt.org/types/35259801/
1,35259835,"capital, laurel",0,0,http://collection.cooperhewitt.org/types/35259835/
1,35254741,Trimming & fringe,0,0,http://collection.cooperhewitt.org/types/35254741/
3,35257687,Sleeve fragments,0,0,http://collection.cooperhewitt.org/types/35257687/
1,35257603,band or picture,0,0,http://collection.cooperhewitt.org/types/35257603/
1,35257693,Fragment from a garment,0,0,http://collection.cooperhewitt.org/types/35257693/
1,35257665,Fragment of a band,0,0,http://collection.cooperhewitt.org/types/35257665/
1,35270859,Watch stand,0,0,http://collection.cooperhewitt.org/types/35270859/
12,35270863,Game board,0,0,http://collection.cooperhewitt.org/types/35270863/
10,35270893,Game piece,0,0,http://collection.cooperhewitt.org/types/35270893/
2,35270805,Jewelry box,0,0,http://collection.cooperhewitt.org/types/35270805/
8,35248391,model,0,0,http://collection.cooperhewitt.org/types/35248391/
104,35293655,Label,0,0,http://collection.cooperhewitt.org/types/35293655/
1,35293659,"Calender, 1984",0,0,http://collection.cooperhewitt.org/types/35293659/
2,35293641,Tweezers,0,0,http://collection.cooperhewitt.org/types/35293641/
3,35293683,Mixing glass,0,0,http://collection.cooperhewitt.org/types/35293683/
1,35293675,"book, rural residences",0,0,http://collection.cooperhewitt.org/types/35293675/
1,35293663,Electric teakettle,0,0,http://collection.cooperhewitt.org/types/35293663/
1,35293631,Dressing tool,0,0,http://collection.cooperhewitt.org/types/35293631/
8,35293649,"drawing,lace design",0,0,http://collection.cooperhewitt.org/types/35293649/
1,35293633,Pick,0,0,http://collection.cooperhewitt.org/types/35293633/
1,35293687,woven ribbon and paper,0,0,http://collection.cooperhewitt.org/types/35293687/
7,35293621,"Plate, salad",0,0,http://collection.cooperhewitt.org/types/35293621/
6,35293667,print of shadow puppet,0,0,http://collection.cooperhewitt.org/types/35293667/
1,35293673,Cocktail glass with straw,0,0,http://collection.cooperhewitt.org/types/35293673/
3,35293603,trading card,0,0,http://collection.cooperhewitt.org/types/35293603/
4,35293693,flute,0,0,http://collection.cooperhewitt.org/types/35293693/
1,35293627,Dressing case and fittings,0,0,http://collection.cooperhewitt.org/types/35293627/
8,35293629,Bottle and cover,0,0,http://collection.cooperhewitt.org/types/35293629/
15,35293645,"drawing,embroidery design",0,0,http://collection.cooperhewitt.org/types/35293645/
1,35293625,"vessel, tripod",0,0,http://collection.cooperhewitt.org/types/35293625/
1,35293665,Notebook cover,0,0,http://collection.cooperhewitt.org/types/35293665/
22,35293605,"card,valentine",0,0,http://collection.cooperhewitt.org/types/35293605/
7,35293607,"card,christmas",0,0,http://collection.cooperhewitt.org/types/35293607/
1,35293697,"Fork tines, knife, sheath or fork handle",0,0,http://collection.cooperhewitt.org/types/35293697/
1,35293639,File,0,0,http://collection.cooperhewitt.org/types/35293639/
1,35293643,Dressing case cover,0,0,http://collection.cooperhewitt.org/types/35293643/
1,35293679,Teapot with cover,0,0,http://collection.cooperhewitt.org/types/35293679/
1,35293677,"book, hints of ornament.ga",0,0,http://collection.cooperhewitt.org/types/35293677/
1,35293647,"drawing,3 lace designs",0,0,http://collection.cooperhewitt.org/types/35293647/
